block	x	y	humans	dogs	chicken	dist
5	0.48	0.149	5	0	29	161.11074482324656
5	0.49	0.161	4	1	0	145.49866205609555
5	0.495	0.164	5	1	0	139.92840368555147
5	0.506	0.178	5	1	0	122.16269537551229
5	0.512	0.183	3	1	0	114.43330612386792
5	0.501	0.182	8	3	5	122.51549848854307
5	0.489	0.166	6	1	0	142.4404264686219
5	0.484	0.162	8	3	5	148.75629655711447
5	0.478	0.154	2	0	0	158.718109411658
5	0.466	0.14	3	0	0	161.19144925190662
5	0.462	0.136	4	0	6	155.5430411551165
5	0.458	0.133	2	0	0	150.640653894945
5	0.455	0.129	7	0	0	145.65863239260648
5	0.45	0.123	5	0	0	137.85339670053872
5	0.446	0.118	3	0	0	131.45999691151403
5	0.444	0.113	3	1	0	126.40074197248254
5	0.439	0.108	3	0	0	119.34070575379297
5	0.564	0.143	5	3	0	109.55074375418785
5	0.556	0.135	6	2	0	120.84688029109292
5	0.546	0.124	14	0	0	135.71260536457467
5	0.541	0.119	5	0	29	142.7728026780561
5	0.532	0.107	4	0	0	157.71710420246978
5	0.523	0.1	7	0	0	168.93491709334984
5	0.515	0.09	5	0	7	156.62331010942682
5	0.507	0.081	4	0	0	144.5819818529626
5	0.499	0.071	3	1	0	131.79460377153507
5	0.49	0.062	5	0	29	119.08709216577827
5	0.484	0.055	7	4	0	109.86962257712568
5	0.477	0.048	5	0	29	99.98435816806992
5	0.485	0.049	8	2	0	106.06608210748512
5	0.493	0.055	9	0	0	115.87208752495083
5	0.495	0.059	2	0	0	120.18615172596505
5	0.499	0.064	7	4	0	126.5804644265455
5	0.506	0.072	5	1	0	137.2103675474637
5	0.51	0.075	6	1	0	142.11204768619484
5	0.513	0.08	5	0	0	147.83926897579346
5	0.518	0.087	4	0	0	156.38858969966003
5	0.525	0.092	4	0	1	164.78290890974412
5	0.533	0.105	4	1	0	158.54031312242802
5	0.54	0.111	5	0	0	149.4005712561576
5	0.548	0.119	5	0	0	138.1057435211284
5	0.552	0.122	8	2	0	133.20062159441466
5	0.565	0.139	4	1	0	111.86394521216603
5	0.575	0.146	21	1	0	99.97826371183137
8	2.959	2.367	3	1	0	102.33614479191581
8	2.867	2.356	4	1	0	150.6838925483407
8	2.905	2.428	4	1	0	99.98353912070432
8	2.909	2.42	3	2	0	102.5408022441303
8	2.913	2.417	4	1	0	101.6751309899191
8	2.921	2.41	4	0	3	100.63109976183105
8	2.925	2.405	4	0	0	101.13505572685251
8	2.927	2.402	4	1	0	101.7276140432804
8	2.929	2.4	4	0	0	101.63733111906392
8	2.937	2.391	4	3	0	101.96073223035847
8	2.941	2.385	4	0	0	103.14841109912896
8	2.948	2.379	6	0	0	102.14923552536656
8	2.953	2.372	5	1	0	103.29108860889916
8	2.958	2.368	2	3	0	102.38128677987834
8	2.966	2.36	9	0	0	102.02085607839966
8	2.973	2.354	2	1	0	101.02029537718327
8	2.978	2.348	2	0	0	101.4789493198744
8	2.993	2.333	2	0	0	100.80196025330413
8	2.999	2.29	5	2	0	111.95272370653962
8	2.983	2.27	2	0	0	108.31357204858074
8	2.957	2.24	3	2	0	104.2230513143857
8	2.95	2.233	3	0	0	103.90921750062367
8	2.942	2.222	2	3	0	101.3584021983922
8	2.935	2.216	4	1	0	101.7717306532667
8	2.928	2.207	3	2	0	99.99722087772817
8	3.005	2.293	2	2	0	110.03559868556292
8	2.903	2.193	3	2	0	104.48715829182565
8	2.899	2.194	3	0	0	102.25421203472465
8	2.89	2.202	2	1	0	101.16379401397187
8	2.887	2.204	9	0	0	100.34494804397373
8	2.878	2.213	3	2	0	99.93823196462381
8	2.869	2.224	9	0	0	100.90051699253058
8	2.863	2.233	2	2	0	102.68224688533765
8	2.857	2.242	6	1	10	104.46405429972744
8	2.846	2.248	4	1	0	100.54668058358084
8	2.841	2.253	4	1	0	100.32172733961504
8	2.833	2.261	4	0	0	99.9600727473004
8	2.829	2.271	3	2	10	103.88991670885484
8	2.825	2.277	3	2	0	105.07259226399087
8	2.82	2.283	3	0	2	105.53158205053118
8	2.815	2.287	4	1	0	104.62159614901852
8	2.803	2.295	4	2	4	101.34312572837773
8	2.8	2.299	3	0	4	101.89239101419417
8	2.796	2.304	4	2	4	102.3955867810341
8	2.79	2.311	3	1	0	102.80925235208656
8	2.8	2.34	2	2	0	116.51258163800443
8	2.804	2.346	2	0	0	114.87278509296551
8	2.806	2.348	5	2	0	114.78275532258047
8	2.814	2.362	2	3	0	110.0458135859999
8	2.819	2.365	9	0	0	111.27883661207457
8	2.828	2.374	5	0	0	110.87251687004986
8	2.852	2.405	2	0	0	104.68601634818714
8	2.859	2.413	4	2	4	103.63919361302216
8	2.865	2.418	4	3	0	104.09819641554006
8	2.872	2.428	6	2	0	101.59401066035306
8	2.875	2.433	6	2	0	99.99997824269057
8	2.852	2.363	2	0	0	135.3153476220527
8	2.86	2.352	4	2	4	148.8114528156168
8	2.867	2.347	12	0	0	157.24705633531812
8	2.873	2.342	4	1	0	164.99871201164666
8	2.89	2.325	4	1	0	181.39568171651993
8	2.92	2.298	2	0	0	171.83780013097564
8	2.93	2.285	6	0	0	155.51515320311827
8	2.94	2.273	5	0	0	139.92137136595952
8	2.946	2.266	10	0	0	130.71110395096701
8	2.937	2.283	12	0	0	149.2673017901365
8	2.934	2.288	3	0	4	154.9661392902223
8	2.931	2.292	4	2	4	159.93655892403876
8	2.93	2.293	4	0	0	161.35018146917355
8	2.926	2.298	3	0	2	167.73267467183555
8	2.921	2.302	3	2	0	174.07094141279873
8	2.917	2.304	3	0	4	176.07081488353654
8	2.913	2.308	2	2	0	176.25129388168637
8	2.908	2.313	3	0	2	176.47685507374362
8	2.904	2.316	2	1	0	177.34154761804888
8	2.901	2.32	3	1	0	176.79272405192648
8	2.898	2.325	4	1	0	175.55972658569357
8	2.894	2.328	9	0	0	176.42450365705162
8	2.888	2.335	2	0	0	176.01096924371828
8	2.886	2.337	3	1	0	176.10121405200687
8	2.88	2.343	2	3	0	169.05886357392637
8	2.877	2.347	5	2	0	164.08890567872638
8	2.871	2.351	3	0	4	157.06656911237107
8	2.867	2.356	3	3	0	150.6838925483407
8	2.863	2.361	3	2	0	144.3003608859845
8	2.859	2.365	2	0	0	138.64694684212506
8	2.855	2.369	6	1	0	132.99328587459223
