village	housenum	x	y	humans	dogs	chicken
CL	87.	1.2106860836399846	0.8663194500802263	1.	1.	3.
CL	88.	1.1661848589670853	0.951531191777164	4.	1.	0.
CL	89.	1.1327728166315865	0.9493367825043464	10.	2.	17.
CL	90.	1.110492284781344	0.9371793268001483	3.	0.	0.
CL	91.	1.0770796517903136	0.9338785889598427	6.	0.	15.
CL	92.	1.0548045675368485	0.9316780966614004	5.	1.	8.
CL	93.	1.0436646098040683	0.9261525356317435	7.	4.	0.
CL	94.	1.0102532012584788	0.9250644542136968	2.	2.	7.
CL	95.	0.8988706196296334	0.9007860550216833	9.	0.	31.
CL	96.	1.1773417443940843	0.9880339879205593	9.	0.	15.
CL	97.	1.1884913766905356	1.011260832018749	5.	2.	7.
CL	98.	1.1773592592098794	1.020117548908857	5.	1.	0.
CL	99.	1.1328398396441344	1.0721393408948785	1.	0.	0.
CL	100.	1.1774099523863697	1.1130492426157588	1.	1.	3.
CL	101.	1.2108310605253791	1.131838635698486	2.	4.	0
CL	102.	1.2665315175466958	1.1605728673148121	7.	0.	11.
CL	103.	1.1328585395167465	1.1064355508075607	6.	3.	11.
CL	104.	1.1105870597351668	1.1108730092121988	5.	2.	12.
CL	105.	1.1105979125835574	1.1307869345211543	6.	0	0
CL	106.	1.0994712143846073	1.1496005978396795	8.	1.	3.
CL	107.	1.0215595900426706	1.2359366853788742	5.	4.	0
CL	108.	0.9325596492612931	1.4118912748279087	4.	1.	6.
CL	109.	0.89917944167928	1.4683321113748775	1.	0.	0.
CL	110.	0.854648490020395	1.4993334267991543	13.	4.	11.
CL	111.	0.876950531967509	1.5513187443136616	1.	0.	0.
CL	112.	0.9326532047904266	1.5844784169759265	3.	0.	0.
CL	113.	0.8992525635536595	1.603304076444573	2.	4.	0
CL	114.	0.8992765110729124	1.6475571796169817	3.	2.	7.
CL	115.	0.8937230007777544	1.6752183805306373	1.	0.	3.
CL	116.	0.8770199827638407	1.6796527241939287	4.	1.	14.
CL	117.	0.9104607119112416	1.7349510395914933	4.	1.	15.
CL	118.	0.9104846209364723	1.7792041459128853	4.	1.	11.
CL	119.	0.9104959730755127	1.8002243713932415	2.	1.	8.
